iter	Passed	Remaining
0	3	303
1	3	175
2	4	131
3	4	107
4	4	93
5	5	83
6	5	76
7	6	71
8	6	67
9	7	64
10	7	61
11	8	62
12	9	63
13	10	63
14	10	60
15	11	58
16	11	57
17	12	55
18	12	53
19	13	52
20	13	50
21	13	49
22	14	48
23	15	47
24	15	47
25	16	47
26	17	47
27	18	46
28	18	45
29	19	44
30	19	43
31	19	42
32	20	41
33	20	40
34	21	39
35	21	38
36	22	37
37	22	37
38	23	36
39	24	36
40	24	35
41	25	34
42	25	34
43	26	33
44	26	32
45	26	31
46	27	30
47	27	30
48	28	29
49	28	28
50	29	28
51	29	27
52	30	26
53	31	26
54	31	25
55	32	25
56	32	24
57	33	23
58	33	23
59	33	22
60	34	21
61	34	21
62	35	20
63	35	20
64	36	19
65	36	18
66	37	18
67	38	18
68	38	17
69	39	16
70	40	16
71	40	15
72	40	15
73	41	14
74	41	13
75	42	13
76	42	12
77	43	12
78	43	11
79	43	10
80	44	10
81	45	9
82	46	9
83	46	8
84	47	8
85	47	7
86	48	7
87	48	6
88	49	6
89	49	5
90	50	4
91	50	4
92	51	3
93	51	3
94	52	2
95	53	2
96	53	1
97	54	1
98	54	0
99	55	0
